"letter","key","content"
"D","Data exclusivity","The period of eight years from the initial authorisation of a medicine during which the marketing-authorisation holder benefits from the exclusive rights to the results of preclinical tests and clinical trials on the medicine. After this period, the marketing authorisation holder is obliged to release this information to companies wishing to develop generic versions of the medicine. 

More information can be found under [Data exclusivity / Generics / Biosimilars: Regulatory and procedural guidance](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/guidance-documents/data-exclusivity-generics-biosimilars-regulatory-procedural-guidance)."
"D","Decentralised procedure","The procedure for authorising medicines in more than one European Union Member State in parallel. It can be used for medicines that do not need to be authorised via the centralised procedure and have not already been authorised in any Member State. 

For more information, see the European Commission's Volume 2A: Procedures for marketing authorisation: Chapter 2: Mutual recognition."
"D","Declaration of interests","The provision of information on all potential conflicts of interests by an individual, including recent work activities, investments and family connections with the pharmaceutical industry. 

More information can be found under [Handling competing interests](https://www.ema.europa.eu/en/about-us/how-we-work/handling-competing-interests)."
"D","Deferral (paediatric)","The possibility to defer a measure in a paediatric investigation plan until after studies in adults have been conducted. This ensures that research in children is done only when it is safe and ethical to do so. Deferrals are adopted by the Paediatric Committee (PDCO). 

More information can be found under [Paediatric investigation plans](https://www.ema.europa.eu/en/human-regulatory/research-development/paediatric-medicines/paediatric-investigation-plans)."
"D","Direct healthcare-professional communication","A letter sent directly to individual healthcare professionals by a marketing authorisation holder or a regulatory authority, containing information or advice regarding the use of a medicine.""letter","key","content"
"E","Efficacy","The measurement of a medicine's desired effect under ideal conditions, such as in a clinical trial."
"E","Electronic common technical document","A common technical document in electronic format. Abbreviated as eCTD. 

For more information, see the eSubmission website's section on eCTD."
"E","Environmental risk assessment","Analysis of the potential risk that the use of a medicine poses to the environment."
"E","EudraCT","A database that includes information on clinical trials taking place in the European Union and clinical studies conducted worldwide in accordance with a paediatric investigation plan. A subset of the data is publicly accessible via the European Clinical Trials Register. 

For more information, see the EudraCT website."
"E","EudraNet","The European Drug Regulatory Network: a secure communication infrastructure linking European medicines regulatory authorities."
"E","EudraPharm","Eudrapharm was an online database of human medicines approved in the European Union (EU). It was decommissioned in June 2019. 
A list of all human medicines approved in the EU can be found under [Public data from Article 57 database](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/data-medicines-iso-idmp-standards/public-data-article-57-database)."
"E","EudraVigilance","A centralised European database of suspected adverse reactions to medicines that are authorised or being studied in clinical trials in the European Economic Area (EEA). 

More information can be found under [EudraVigilance](https://www.ema.europa.eu/en/human-regulatory/research-development/pharmacovigilance/eudravigilance)."
"E","EURD list","The European Union reference dates (EURD) list is a comprehensive list of active substances and combinations of active substances contained in medicinal products subject to different marketing authorisations, together with the corresponding EU reference dates, frequencies for submission of periodic safety update reports and related data lock points. 

More information is available under [Periodic safety update reports](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/periodic-safety-update-reports-psurs)."
"E","European Commission decision","The legally binding decision issued by the European Commission at the end of a regulatory procedure, such as a marketing authorisation application or arbitration procedure. A European Commission decision comes after an opinion from one of the Agency’s scientific committees. 

For more information, see the European Commission's section on European Union centralised procedures."
"E","European medicines regulatory network","The system for regulating medicines in Europe is based on a closely coordinated regulatory network of national competent authorities in the Member States of the European Economic Area working together with the European Medicines Agency and the European Commission. 

More information can be found under [European medicines regulatory network](https://www.ema.europa.eu/en/about-us/how-we-work/european-medicines-regulatory-network)."
"E","European Network of Centres for Pharmacoepidemiology and Pharmacovigilance","A network of European centres in the fields of pharmacoepidemiology and pharmacovigilance, which aims to strengthen the postauthorisation monitoring of medicines by facilitating the conduct of multicentre, independent, postauthorisation studies focusing on safety and on benefit-risk balance. It is coordinated by the European Medicines Agency. Abbreviated as ENCePP. 

For more information, see the ENCePP website."
"E","European Network of Paediatric Research at the European Medicines Agency","A network of research networks, investigators and centres with recognised expertise in performing clinical studies in children. Abbreviated as Enpr-EMA. 

More information can be found under [European Network of Paediatric Research at the European Medicines Agency (Enpr-EMA)](https://www.ema.europa.eu/en/partners-networks/networks/european-network-paediatric-research-european-medicines-agency-enpr-ema)."
"E","European Pharmacopoeia","A compendium of texts on the qualitative and quantitative composition of medicines, and on the tests to be carried out on medicines, on the raw materials used in the production of medicines and on the intermediates of synthesis. 

For more information, see the European Pharmacopoeia on the Council of Europe website."
"E","European public assessment report","A set of documents describing the evaluation of a medicine authorised via the centralised procedure and including the product information, published on the European Medicines Agency website. European public assessment reports include the product information. Abbreviated as EPAR. 

More information can be found under [European public assessment reports: background and context](https://www.ema.europa.eu/en/medicines/what-we-publish-when/european-public-assessment-reports-background-context)."
"E","European Review System","An electronic tool for the receipt, validation, storage and provision of electronic documents for marketing authorisation applications and postauthorisation applications. Abbreviated as EURS.For more information, see the eSubmission website's section on EURS."
"E","European Union Clinical Trials Register","A website that contains public information on interventional clinical trials on medicines.For more information, see the European Union Clinical Trials Register."
"E","European Union herbal monograph","The scientific opinion of the Committee on Herbal Medicinal Products on the efficacy, safety and recommended uses of a medicine containing a herbal substance or a herbal preparation. 

More information is available under [European Union monographs and list entries](https://www.ema.europa.eu/en/human-regulatory/herbal-products/european-union-monographs-list-entries)."
"E","Exceptional circumstances","A type of marketing authorisation granted to medicines where the applicant is unable to provide comprehensive data on the efficacy and safety under normal conditions of use, because the condition to be treated is rare or because collection of full information is not possible or is unethical.

More information is available under [Pre-authorisation guidance: question 1.10](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/pre-authorisation-guidance)."
"E","Excipient","A constituent of a medicine other than the active substance.""letter","key","content"
"G","Gene-therapy medicine","A medicine that delivers genes into the body. 

More information can be found under Advanced therapy medicinal products"
"G","Generic medicine","A generic medicine is a medicine that is developed to be the same as a medicine that has already been authorised. Its authorisation is based on efficacy and safety data from studies on the authorised medicine. A company can only market a generic medicine once the 10-year exclusivity period for the original medicine has expired. 

More information can be found under Generic and hybrid medicines"
"G","Good agricultural and collection practice","A set of standards for the collection, cultivation, harvest and primary processing of plant materials for use in herbal medicines. Abbreviated as GACP. 

More information can be found under Guideline on good agricultural and collection practice for starting materials of herbal origin."
"G","Good clinical practice","A code of international standards concerning the design, conduct, performance, monitoring, auditing, recording, analysis and reporting of clinical trials. Good clinical practice provides assurance that a study’s results are credible and accurate and that the rights and confidentiality of the study subjects are protected. Abbreviated as GCP. 

More information can be found under Good clinical practice"
"G","Good distribution practice","A code of standards ensuring that the quality of a medicine is maintained throughout the distribution network, so that authorised medicines are distributed to retail pharmacists and others selling medicines to the general public without any alteration of their properties. Abbreviated as GDP. 

More information can be found under Good distribution practice."
"G","Good laboratory practice","A code of standards concerning the testing of medicines in laboratories during their development. Abbreviated as GLP. 

More information can be found under Good laboratory practice compliance"
"G","Good manufacturing practice","A code of standards concerning the manufacture, processing, packing, release and holding of a medicine. Abbreviated as GMP. 

More information can be found under Good manufacturing practice."
"G","Good pharmacovigilance practices","A set of measures drawn up to facilitate the performance of the safety monitoring of medicines in the European Union. Abbreviated as GVP. 

More information can be found under Good pharmacovigilance practices."
"G","Grouping","The possibility for a marketing authorisation holder to submit more than one variation for a medicine in a single application. 

More information can be found under Grouping of variations: questions and answers."
"G","Guideline","A document providing guidance on the scientific or regulatory aspects of the development of medicines and applications for marketing authorisation. Although guidelines are not legally binding, applicants need to provide justification for any deviations. 

For more information can be found under Scientific guidelines.""letter","key","content"
"H","Heads of Medicines Agencies","The network of the heads of the regulatory authorities responsible for the regulation of human and veterinary medicines in the European Economic Area. Abbreviated as HMA. More information can be found under Heads of Medicines Agencies."
"H","Health technology assessment body","A public organisation that provides recommendations on the medicines and other healthcare interventions that can be paid for or reimbursed. These organisations look at the relative effectiveness and cost effectiveness of medicines that have been authorised. 

More information can be found under health technology assessment bodies."
"H","Herbal medicinal product","Any medicinal product, exclusively containing as active ingredients one or more herbal substances or one or more herbal preparations, or one or more such herbal substances in combination with one or more such herbal preparations. 

More information can be found under herbal medicinal products."
"H","Herbal preparations","Preparations obtained by subjecting herbal substances to treatments such as extraction, distillation, expression, fractionation, purification, concentration or fermentation. These include comminuted or powdered herbal substances, tinctures, extracts, essential oils, expressed juices and processed exudates. 

For more information, see herbal medicinal products."
"H","Herbal substances","All mainly whole, fragmented or cut plants, plant parts, algae, fungi, lichen in an unprocessed, usually dried, form, but sometimes fresh. Certain exudates that have not been subjected to a specific treatment are also considered to be herbal substances. Herbal substances are precisely defined by the plant part used and the botanical name according to the binomial system (genus, species, variety and author). 

More information can be found under herbal medicinal products."
"H","HMPC","Committee on Herbal Medicinal Products: the committee that is responsible for establishing Community herbal monographs and preparing the Agency’s opinions on questions relating to herbal medicines. 

More information can be found under Committee on Herbal Medicinal Products (HMPC)."
"H","Hybrid medicine","A medicine that is similar to an authorised medicine containing the same active substance, but where there are certain differences between the two medicines such as in their strength, indication or pharmaceutical form. 

More information can be found under Generic and hybrid medicines.""letter","key","content"
"L","Labelling","Information on the immediate or outer packaging of a medicine."
"L","List of outstanding issues","A set of questions addressed to a company during a procedure, such as the evaluation of a marketing authorisation application. Lists of outstanding issues are prepared after a company has already responded to a list of questions."
"L","List of questions","A set of questions addressed to a company during a procedure, such as a marketing authorisation application.""letter","key","content"
"M","Market exclusivity","The 10-year period after the marketing authorisation of an orphan medicine when similar medicines for the same indication cannot be placed on the market. 

More information can be found under [Marketing authorisation and market exclusivity](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/orphan-medicines/applying-marketing-authorisation-orphan-medicines)."
"M","Market protection","The protection of an approved medicine against competition from generic medicines that extends beyond the protection conferred by data exclusivity. During this period, applications for generics can be accepted and authorised, but the generic medicines cannot be placed on the market. 

More information can be found under [European Medicines Agency procedural advice for users of the centralised procedure for generic / hybrid applications](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/generic-medicines/generic-hybrid-applications)."
"M","Marketing authorisation","The approval to market a medicine in one, several or all European Union Member States."
"M","Marketing authorisation application","An application made to a European regulatory authority for approval to market a medicine within the European Union."
"M","Marketing authorisation holder","The company or other legal entity that has the authorisation to market a medicine in one, several or all European Union Member States."
"M","Master data","Any non-transactional information considered to play a key role in the core operation of a business and re-used for multiple purposes. More information can be found under [Substance, product, organisation and referential (SPOR) master data](https://www.ema.europa.eu/en/human-regulatory/research-development/data-medicines-iso-idmp-standards/substance-product-organisation-referential-spor-master-data)."
"M","Maximum residue limit","The maximum concentration of a medicine residue that is considered acceptable in food produced from an animal that has been treated with that medicine. 

More information can be found under [Maximum residue limits](https://www.ema.europa.eu/en/veterinary-regulatory/research-development/maximum-residue-limits-mrl)."
"M","Medicinal product","A substance or combination of substances that is intended to treat, prevent or diagnose a disease, or to restore, correct or modify physiological functions by exerting a pharmacological, immunological or metabolic action."
"M","Minor use/minor species","A type of veterinary medicine that is to be used in small numbers of animals or in animals of low individual economic value, such as honey bees. More information can be found under [Minor uses / minor species and limited markets](https://www.ema.europa.eu/en/veterinary-regulatory/research-development/minor-use-minor-species-limited-markets)."
"M","Mock-up","A copy of the flat artwork design for a medicine's inner and outer packaging, in full colour, that can be assembled into a three-dimensional replica. More information can be found under [Mock-ups and specimens](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/product-information/mock-ups-specimens)."
"M","Mock-up vaccine","A vaccine that contains a strain of flu virus which that could cause a pandemic. The mock-up procedure allows a vaccine to be developed in advance of a pandemic. More information can be found under [Vaccines for pandemic influenza](https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/pandemic-influenza/vaccines-pandemic-influenza)."
"M","Modelling and simulation","Techniques that use mathematical models to understand and predict the outcomes of interventions. More information can be found under [Methodologies and statistics](https://www.ema.europa.eu/en/questions-and-answers/methodologies-statistics)."
"M","Mutual recognition","A procedure through which an authorisation of a medicine in one European Union Member State is recognised by another Member State. For more information, see volume 2A: Procedures for marketing authorisation: Chapter 2: Mutual recognition."
"M","Mutual recognition agreement","An agreement between two regulatory agencies to recognise each other's regulatory assessments, inspections or reviews.""letter","key","content"
"N","Nanotechnology","The use of tiny structures less than 1,000 nanometres across, which are designed to have specific properties. More information can be found under [Nanotechnology](https://www.ema.europa.eu/en/questions-and-answers/nanotechnology)."
"N","National competent authority","A medicines regulatory authority in a European Union Member State."
"N","Nationally authorised product","A medicine authorised in a Member State in accordance with its national authorisation procedure."
"N","Note for guidance","A type of document intended to provide guidance on an aspect of a regulatory procedure."
"N","Notified body","An accredited body that conducts conformity assessments for medical devices""letter","key","content"
"O","Off-label use","Use of a medicine for an unapproved indication or in an unapproved age group, dosage, or route of administration."
"O","Official Journal of the European Union","Daily European Union publication publishing legal instruments and other European Union documents. 

For more information, see [Official Journal of the European Union](http://eur-lex.europa.eu/oj/direct-access.html) on the EUR-Lex website."
"O","Official medicines control laboratory","A European laboratory, independent from pharmaceutical companies, that supports regulatory authorities by controlling the quality of medicinal products for human or veterinary use. 

For more information, see [General European Official Medicines Control Laboratory Network](http://www.edqm.eu/en/General-european-OMCL-network-46.html) on the EDQM website."
"O","Oral explanation","A presentation and question-and-answer session in person between representatives of an applicant and a European Medicines Agency committee."
"O","Orphan designation","A status assigned to a medicine intended for use against a rare condition. The medicine must fulfil certain criteria for designation as an orphan medicine so that it can benefit from incentives such as protection from competition once on the market. 

More information can be found under [Orphan designation: Overview](https://www.ema.europa.eu/en/human-regulatory/overview/orphan-designation-overview)."
"O","Orphan medicine","A medicine for the diagnosis, prevention or treatment of a life-threatening or chronically debilitating condition that is rare (affecting not more than five in 10,000 people in the European Union) or where the medicine is unlikely to generate sufficient profit to justify research and development costs. 

More information can be found under [Orphan designation: Overview](https://www.ema.europa.eu/en/human-regulatory/overview/orphan-designation-overview).""letter","key","content"
"P","Package leaflet","The leaflet in every pack of medicine that contains information on the medicine for end-users, such as patients and animal owners."
"P","Paediatric Committee","The committee that is responsible for assessing the content of paediatric investigation plans, which describe how a medicine should be studied in children, as well as waivers and deferrals. Abbreviated as PDCO. 

More information can be found under [Paediatric Committee (PDCO)](https://www.ema.europa.eu/en/committees/paediatric-committee-pdco)."
"P","Paediatric investigation plan","A development plan aimed at ensuring that the necessary data are obtained to support the authorisation of a medicine for children, through studies in children. All applications for marketing authorisation for new medicines have to include the results of studies as described in an agreed paediatric investigation plan, unless the medicine is exempt because of a deferral or waiver

More information can be found under [Paediatric investigation plans](https://www.ema.europa.eu/en/human-regulatory/research-development/paediatric-medicines/paediatric-investigation-plans)."
"P","Paediatric-use marketing authorisation","A type of marketing authorisation covering the indication(s) and appropriate formulation(s) for the paediatric population, which was introduced by the Paediatric Regulation. Applicants can request paediatric-use marketing authorisations for medicines that are already authorised, are no longer covered by a supplementary protection certificate or a patent that qualifies as such and are developed exclusively for use in children.

Abbreviated as PUMA.

More information can be found under [Paediatric-use marketing authorisations](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/paediatric-medicines/paediatric-use-marketing-authorisations)."
"P","Parallel distribution","The distribution of a medicine from one Member State to another by a pharmaceutical company independently of the marketing authorisation holder. 

More information can be found under [Parallel distribution](https://www.ema.europa.eu/en/veterinary-regulatory/post-authorisation/parallel-distribution)."
"P","Patent","An official document securing the exclusive right to make, use, or sell an invention to its inventor for a defined period."
"P","PDCO","Paediatric Committee: the committee that is responsible for assessing the content of paediatric investigation plans, which describe how a medicine should be studied in children, as well as waivers and deferrals. 

More information can be found under [Paediatric Committee (PDCO)](https://www.ema.europa.eu/en/committees/paediatric-committee-pdco)."
"P","Periodic safety update report","A report prepared by the marketing-authorisation holder describing the worldwide safety experience with a medicine at a defined time after its authorisation. Abbreviated as PSUR. 

More information can be found under [Periodic safety update reports: questions and answers](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/periodic-safety-update-reports-psurs)."
"P","Personalised medicine","A medicine that is targeted to individual patients, based on their genetic characteristics."
"P","Pharmaceutical form","The way a medicine is presented, e.g. tablet, capsule, solution for injection, cream, etc."
"P","Pharmacogenomics","The study of how the variability of the expression of genes between people leads to differences in susceptibility to disease and responses to medicines."
"P","Pharmacovigilance","Science and activities relating to the detection, assessment, understanding and prevention of adverse effects or any other medicine-related problem. 

More information can be found under [Pharmacovigilance: Overview](https://www.ema.europa.eu/en/human-regulatory/overview/pharmacovigilance-overview)."
"P","Pharmacovigilance Risk Assessment Committee","The committee that is responsible for assessing all aspects of the risk management of medicines for human use. Abbreviated as PRAC. 

More information can be found under [Pharmacovigilance Risk Assessment Committee (PRAC)](https://www.ema.europa.eu/en/committees/pharmacovigilance-risk-assessment-committee-prac)."
"P","Phase-I study","A type of clinical study where a new medicine is given to humans for the first time, usually in healthy volunteers. It looks at the way the medicine is dealt with by the body, its main effects and main side effects."
"P","Phase-II study","A type of clinical study conducted after phase I studies to evaluate a medicine’s effects in a particular condition and to determine its common short-term side effects."
"P","Phase-III study","A type of clinical study usually conducted in a large group of patients to gather information about a medicine's efficacy and safety, to allow its benefits and risks to be evaluated."
"P","Phase-IV study","A type of clinical study that takes place after the authorisation of a medicine."
"P","Plasma master file","Documentation providing detailed information on the characteristics of the human plasma used in a medicine or a medical device. 

More information can be found under [Plasma master file (PMF) certification](https://www.ema.europa.eu/en/human-regulatory/overview/plasma-master-file-pmf-certification)."
"P","PRAC","Pharmacovigilance Risk Assessment Committee: the committee that is responsible for assessing all aspects of the risk management of medicines for human use. 

More information can be found under [Pharmacovigilance Risk Assessment Committee (PRAC)](https://www.ema.europa.eu/en/committees/pharmacovigilance-risk-assessment-committee-prac)."
"P","Product information","Documents providing officially approved information for healthcare professionals and patients on a medicine. The product information includes the summary of product characteristics, package leaflet and labelling. 

More information can be found under [Product-information requirements](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/product-information-requirements)."
"P","Product-specific waiver","An exemption from the obligation to acquire data, through a paediatric investigation plan, in some or all subsets of the paediatric population for a given condition, route of administration and pharmaceutical form of a specified medicine. Product-specific waivers are adopted by the Paediatric Committee (PDCO). 

More information can be found under [Class waivers](https://www.ema.europa.eu/en/human-regulatory/research-development/paediatric-medicines/paediatric-investigation-plans/class-waivers)."
"P","Protocol assistance","A type of scientific advice for developers of orphan medicines. 

More information can be found under [Scientific advice and protocol assistance](https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance).""letter","key","content"
"R","Rapporteur","One of the two members of a committee or working party who leads the evaluation of an application."
"R","Re-examination","A review of an opinion by a scientific committee of the Agency, triggered at the request of the applicant."
"R","Reference Member State","The European Union Member State that leads the review of an application in a mutual recognition procedure or decentralised procedure. 

More information can be found under volume 2A: Procedures for marketing authorisation: Chapter 2: Mutual recognition."
"R","Referral","An evaluation conducted by a European Medicines Agency committee following a referral from the European Commission or a Member State. Referrals are used to address particular issues, such as safety concerns, to resolve disagreements between Member States on issues related to the authorisation of medicines or to give an opinion on an issue of Europe-wide interest. 

More information can be found under referral procedures (human) and referral procedures (veterinary)."
"R","Reflection paper","A document outlining the view of the European Medicines Agency or one of its committees, working parties or other groups on a particular issue. 

More information can be found under [Scientific guidelines](https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-guidelines)."
"R","Regulatory authority","A body that carries out regulatory activities relating to medicines, including the processing of marketing authorisations, the monitoring of side effects, inspections, quality testing and monitoring the use of medicines."
"R","Renewal","An extension of the validity of a marketing authorisation, which can be for a fixed or indefinite period of time. Initial marketing authorisations are usually valid for five years. 

More information can be found under [Renewal and annual re-assessment of marketing authorisation](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/renewal-annual-re-assessment-marketing-authorisation)."
"R","Request for supplementary information","A list of questions addressed to a marketing authorisation holder during the evaluation of a variation to an existing marketing authorisation."
"R","Risk management plan","A detailed description of the activities and interventions designed to identify, characterise, prevent or minimise risks relating to medicines."
"R","Risk management system","A set of activities and interventions designed to identify, characterise, prevent or minimise risks relating to medicines, including the assessment of the effectiveness of those activities and interventions."
"R","Risk minimisation activity","A public health intervention intended to prevent or reduce the probability of the occurrence of an adverse reaction associated with exposure to a medicine or to reduce its severity if it occurs."
"R","Route of administration","The way in which a medicine is given, e.g. orally (by mouth), intravenously (into a vein), subcutaneously (under the skin), etc.""letter","key","content"
"S","Safety signal","Information on a new or known adverse event that is potentially caused by a medicine and that warrants further investigation. Signals are generated from several sources such as spontaneous reports, clinical studies and the scientific literature. 

More information can be found under [Signal management](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/pharmacovigilance/signal-management)."
"S","Scientific advice","The provision of advice by the European Medicines Agency on the appropriate tests and studies required in the development of a medicine or on the quality of a medicine. 

More information can be found under [Scientific advice and protocol assistance](https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance)."
"S","Scientific advisory group","A group of European experts brought together to provide advice in connection with the evaluation of specific medicines. 

More information can be found under [Working parties and other groups](https://www.ema.europa.eu/en/committes/working-parties-other-groups)."
"S","Serious adverse reaction","An adverse reaction that results in death, is life-threatening, requires hospitalisation or prolongation of existing hospitalisation, results in persistent or significant disability or incapacity, or is a birth defect."
"S","Somatic cell based medicine","A medicine containing cells or tissues that have been manipulated to change their biological characteristics, which is used to cure, diagnose or prevent a disease. 

More information can be found under Advanced therapies."
"S","Specific obligations","Requirements imposed on holders of conditional marketing authorisations or marketing authorisations granted under exceptional circumstances. 

More information can be found under [Post-authorisation measures: questions and answers](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/post-authorisation-measures-questions-answers)."
"S","Specimen","A sample of the actual printed outer and inner packaging materials and package leaflet for a medicine. 

More information can be found under [Mock-ups and specimens](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/product-information/mock-ups-specimens)."
"S","Subgroup analysis","The separate analysis of clinical trial results in subsets of the trial’s participants. 

More information can be found under [Clinical trials in human medicines](https://www.ema.europa.eu/en/human-regulatory/research-development/clinical-trials-human-medicines)."
"S","Summary of opinion","A document summarising the opinion issued by one of the European Medicines Agency's committees at the end of the evaluation process."
"S","Summary of product characteristics","A document describing the properties and the officially approved conditions of use of a medicine. Summaries of product characteristics form the basis of information for healthcare professionals on how to use the medicine safely and effectively. Abbreviated as SmPC. 

More information can be found under [Product-information requirements](https://www.ema.europa.eu/en/human-regulatory/marketing-authorisation/product-information-requirements) and [Guideline on summary of product characteristics](http://ec.europa.eu/health/files/eudralex/vol-2/c/smpc_guideline_rev2_en.pdf)."
"S","Sunset clause","A legal provision stating that the marketing authorisation of a medicine will cease to be valid if the medicine is not placed on the market within three years of the authorisation being granted or if the medicine is removed from the market for three consecutive years. 

More information can be found under [Sunset clause monitoring: questions and answers](https://www.ema.europa.eu/en/human-regulatory/post-authorisation/post-authorisation-procedural-qa/sunset-clause-monitoring-questions-answers)."
"S","Supplementary protection certificate","A means of extending the term of patent exclusivity for a new medicine for a fixed period from the date of the first marketing authorisation in a European Union Member State."
